Name;Steeping time;Temperture;Leaf ratio (gram);Time to drink;Story (Legend or background)
Dong Ding Oolong;Rinse 5s, then 15s → 20s → 25s → +5s;95°C;6 g / 100 ml;Afternoon;Taiwanese high-mountain style rooted in Fujian, named after Dong Ding mountain where tea was brought by immigrants in the 19th century.
Oriental Beauty;20s → 25s → 35s → +10s;90°C;5 g / 100 ml;Afternoon;Taiwanese oolong where leafhopper bites create honey notes, presented as 'Oriental Beauty' to Queen Elizabeth II in the 1960s.
Ali Shan High Mountain Oolong;15s → 20s → 30s → +10s;95°C;5 g / 100 ml;Morning / Afternoon;Grown above 1000 m in Taiwan's Alishan range, cool mist slows growth and concentrates sweetness in tight rolled leaves.
Golden Osmanthus Oolong;15s → 20s → 30s → +10s;95°C;5 g / 100 ml;Afternoon / Evening;Anxi-style oolong scented with osmanthus flowers, popular autumn tea in Fujian and Guangdong banquets.
Zheng Shan Xiao Zhong;10s → 15s → 20s → +5s;95°C;5 g / 100 ml;Morning;From Tongmu village where pine-smoking was said to dry tea quickly when armies passed through during the late Ming turmoil.
Qimen Hong Cha;10s → 15s → 20s → +5s;95°C;5 g / 100 ml;Morning / Afternoon;Anhui black tea created in 1875 that became the base of English Breakfast blends, winey aroma won prizes at 1915 Panama Expo.
Dian Hong – Golden Needle;10s → 15s → 20s → +5s;95°C;5 g / 100 ml;Morning;Yunnan large-leaf cultivar buds turned into golden tippy red tea, developed in the 20th century for export and gift markets.
Jinjunmei;10s → 15s → 20s → +5s;95°C;5 g / 100 ml;Morning;Luxury lapsang-region black tea of tiny buds, controversial origin story but undeniably influential in modern Chinese black tea pricing.
Laoshan Black;10s → 15s → 25s → +5s;95°C;5 g / 100 ml;Afternoon;Rare northern Chinese black tea from Shandong's Laoshan, snowy climate gives a surprisingly sweet mellow cup.
Yingde Hong Cha;10s → 15s → 20s → +5s;95°C;5 g / 100 ml;Afternoon;Guangdong black tea district revived in the 1950s, bright red liquor suited to milk tea culture in Hong Kong.
Jasmine Dragon Pearls;15s → 20s → 30s → +10s;85°C;5 g / 100 ml;Evening;Hand-rolled green pearls scented with jasmine flowers layer by layer, a Song-era tradition refined in Fuzhou.
Jasmine Mo Li Hua Cha;15s → 20s → 30s → +10s;85°C;5 g / 100 ml;Evening;Base tea scented with jasmine sambac, Fujian developed industrial scenting that supplies teahouses worldwide.
Rose Black Tea;10s → 15s → 20s → +5s;95°C;5 g / 100 ml;Afternoon / Evening;Modern scented blend popular in Chinese cafés, combines Qimen or Dian Hong base with red rose petals for romance gifting.
Pu-erh Sheng – Yiwu Gushu;Rinse 5s ×2, then 8s → 12s → 20s → +5s;95°C;7 g / 100 ml;Morning / Afternoon;Raw pu-erh from ancient trees in Yiwu, one of the Six Great Tea Mountains of Xishuangbanna trade routes since Qing times.
Pu-erh Shou – Menghai Ripe;Rinse 5s ×2, then 10s → 15s → 20s → +5s;95°C;7 g / 100 ml;Afternoon / Evening;Wo Dui fermentation invented in 1973 accelerates aging, Menghai Factory Recipe 7542 became the benchmark cooked pu-erh.
Liu Bao Hei Cha;Rinse 5s, then 15s → 20s → 30s → +10s;95°C;6 g / 100 ml;Afternoon / Evening;Guangxi aged dark tea with betel-nut aroma, overseas Chinese in Southeast Asia drank it for humidity relief since the 19th century.
Anhua Hei Cha;Rinse 5s, then 15s → 20s → 30s → +10s;95°C;6 g / 100 ml;Afternoon / Evening;Hunan dark tea pressed for horse-caravan trade on the Tea Horse Road, golden flowers (Eurotium) sometimes grow on bricks.
Fuzhuan Brick Tea;Rinse 10s, then 20s → 30s → 40s → +10s;95°C;6 g / 100 ml;Afternoon / Evening;Brick tea with golden fungus prized on the frontier, Tibetan and Mongolian nomads boiled it with milk and salt for centuries.
Tuocha;Rinse 5s ×2, then 10s → 15s → 20s → +5s;95°C;6 g / 100 ml;Afternoon / Evening;Bowl-shaped pu-erh tuo easy to carry on the Tea Horse Road, default travel tea of Yunnan merchants and backpackers today.
Pu-erh Bing Cha;Rinse 5s ×2, then 10s → 15s → 20s → +5s;95°C;7 g / 100 ml;Afternoon / Evening;Disk cakes wrapped in paper for aging and speculation, 20th-century tea collectors treat vintages like wine futures.
Chenpi Pu-erh;20s → 30s → 45s → +15s;95°C;6 g / 100 ml;Afternoon / Evening;Guangdong blend of ripe pu-erh stuffed in dried tangerine peel, aids digestion according to Cantonese dim sum culture.
Gu Shu Hong;10s → 15s → 20s → +5s;95°C;5 g / 100 ml;Morning / Afternoon;Black tea processed from Yunnan gushu leaves, bridges red tea fashion with ancient-tree terroir storytelling.
Huangjin Gui;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;8 g / 100 ml;Afternoon / Evening;Wuyi rock tea cultivar with osmanthus-like perfume, name celebrates both color of liquor and cassia fragrance metaphor.
